Feature,Coefficient,Normalized Weight
age,0.1171317379129101,0.020781659107997303
trestbps,0.08713454611305664,0.015459519905680754
chol,-0.45154288929466235,0.08011330289437776
thalch,-0.21069103938523467,0.037381067126905386
oldpeak,0.4999838808321427,0.08870776406197173
ca,0.6322228487940682,0.11216976677742206
sex_Male,0.5737868902775503,0.10180198609579094
cp_atypical angina,-0.7710756153182053,0.13680519788707105
cp_non-anginal,-0.5446673804055009,0.09663556631635563
cp_typical angina,-0.30738467671170755,0.05453657292436188
fbs_True,0.12384397062228601,0.021972551811420812
restecg_normal,-0.04500911180196706,0.007985572782311831
restecg_st-t abnormality,0.08326586263688611,0.014773133255648331
exang_True,0.36184776875301394,0.06419948267826182
slope_flat,0.4214222569377951,0.07476926271439563
slope_upsloping,-0.004044120360039553,0.0007175128808943435
thal_normal,-0.17696850614130946,0.031397973196766425
thal_reversable defect,0.22428039513680612,0.039792107582366204
