feature,shap_importance,rank
id,1.4706188456047202,1
oldpeak,0.425163778465106,2
ca,0.3254044609901954,3
cp_atypical angina,0.3239039625940721,4
exang_True,0.3155476775649337,5
cp_non-anginal,0.27419356343131246,6
dataset_Hungary,0.2732626408815019,7
slope_flat,0.26224541820139985,8
thalch,0.24316807752371214,9
sex_Male,0.22272857852523179,10
thal_reversable defect,0.21756877349513729,11
chol,0.13864537388601023,12
dataset_Switzerland,0.1345567884299079,13
trestbps,0.10710375285070929,14
age,0.1065192560750954,15
cp_typical angina,0.059155723213629205,16
dataset_VA Long Beach,0.04995679766491988,17
thal_normal,0.03461088743025091,18
slope_upsloping,0.025743556030795985,19
restecg_st-t abnormality,0.01271876338707456,20
fbs_True,0.012037089709116,21
restecg_normal,0.01117552731317913,22
